# RuleNumber.TestNumber | DiscoveryRule/TestRule | True/False | Path

# TV files must contain {tvdb-xxxxxxx} or {tmdb-xxxxxxx} in the file name
     
17.52 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][TrueHD-Atmos 2.0][VP9].mkv"
17.53 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][EAC 2.0][VP9].mkv"
17.54 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][EAC3-Atmos 2.0][VP9].mkv"
17.55 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][AC3- 2.0][VP9].mkv"
17.56 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][FLAC+ 2.0][VP9].mkv"
17.57 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][PCM2.0][VP9].mkv"
17.58 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][MP4 2.0][VP9].mkv"
17.59 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][AAC2 2.0][VP9].mkv"
17.60 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][TrueHD2 2.0][VP9].mkv"
17.61 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][AVC6 2.0][VP9].mkv"
17.62 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][Opus9 2.0][VP9].mkv"
17.63 | T | False | "\\nas4\assets1\_Movies\A (2023)\A (2022) {tmdb-1} [DVD][EAC3 6.0][VP9].mkv"



# Movies files must either be a special feature or have a valid quality specified

18.1  | T | True  | "X:\_Movies (non-tmdb)\The Lord of the Rings (2003)\The Lord of the Rings (2003) {tmdb-120} {edition-THE COMPLETE EXTENDED} [Remux-2160p][TrueHD Atmos 7.1][h265].mkv"
18.2  | T | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-behindthescenes.mkv"
18.3  | T | False | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-trailertest.mkv"
18.4  | D | False | "Z:\_TV\Tom and Jerry {tvdb-72860}\Season 1940\Tom and Jerry s1940e01 Puss Gets The Boot [SDTV].mkv"
18.5  | D | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men (1957) {tmdb-389} {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
18.6  | D | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-scene.mkv"
18.7  | T | True  | "X:\_Movies (non-tmdb)\The Lord of the Rings (2003)\The Lord of the Rings (2003) {tmdb-120} {edition-THE COMPLETE EXTENDED} [Remux-2160p][DV HDR10][TrueHD Atmos 7.1][h265].mkv"


# {Movie CleanTitle} {(Release Year)} {tmdb-{TmdbId}} {edition-{EDITION TAGS}} {[Quality Full]}{[MediaInfo 3D]}{[MediaInfo VideoDynamicRangeType]}{[Mediainfo AudioCodec}{ Mediainfo AudioChannels}][{Mediainfo VideoCodec}].extension


